measurement_id,city_id,city_name,longitude,latitude,weather_id,weather_main,weather_description,weather_icon,base,temperature,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind_speed,wind_deg,clouds_all,dt,sys_type,sys_id,sys_country,sys_sunrise,sys_sunset,timezone,cod
37,2525471,Provincia di Cagliari,9.0912,39.245,800,Clear,clear sky,01n,stations,15.97,15.61,15.88,17.75,1022,76,10000,3.6,160,0,2024-03-21 17:58:18,1,6720,IT,2024-03-21 05:25:06,2024-03-21 17:36:17,3600,200
38,727011,Sofia,23.3242,42.6975,802,Clouds,scattered clouds,03n,stations,10.83,8.8,10.83,10.83,1016,32,10000,3.09,280,28,2024-03-21 17:57:16,1,6366,BG,2024-03-21 04:27:50,2024-03-21 16:39:42,7200,200
39,728193,Plovdiv,24.75,42.15,803,Clouds,broken clouds,04n,stations,12.04,10.27,12.04,13.17,1016,37,10000,6.17,360,75,2024-03-21 17:58:02,1,6363,BG,2024-03-21 04:22:13,2024-03-21 16:33:56,7200,200
40,3173435,Milan,9.1895,45.4643,800,Clear,clear sky,01n,stations,18.44,17.93,16.72,19.99,1017,61,10000,4.63,270,0,2024-03-21 17:56:29,2,2012644,IT,2024-03-21 05:23:57,2024-03-21 17:36:39,3600,200
41,3181927,Bologna,11.4333,44.4667,800,Clear,clear sky,01n,stations,17.75,17.23,15.02,18.67,1018,63,10000,2.06,30,0,2024-03-21 17:54:56,2,2000038,IT,2024-03-21 05:15:07,2024-03-21 17:27:32,3600,200
42,2525471,Provincia di Cagliari,9.0912,39.245,800,Clear,clear sky,01n,stations,15.97,15.61,15.88,17.75,1022,76,10000,3.6,160,0,2024-03-21 17:58:18,1,6720,IT,2024-03-21 05:25:06,2024-03-21 17:36:17,3600,200
43,727011,Sofia,23.3242,42.6975,802,Clouds,scattered clouds,03n,stations,10.83,8.8,10.83,10.83,1016,32,10000,3.09,280,28,2024-03-21 17:57:16,1,6366,BG,2024-03-21 04:27:50,2024-03-21 16:39:42,7200,200
44,728193,Plovdiv,24.75,42.15,803,Clouds,broken clouds,04n,stations,12.04,10.27,12.04,13.17,1016,37,10000,6.17,360,75,2024-03-21 17:58:02,1,6363,BG,2024-03-21 04:22:13,2024-03-21 16:33:56,7200,200
45,3173435,Milan,9.1895,45.4643,800,Clear,clear sky,01n,stations,18.44,17.93,16.49,19.99,1017,61,10000,4.63,270,0,2024-03-21 18:02:25,2,2012644,IT,2024-03-21 05:23:57,2024-03-21 17:36:39,3600,200
46,3181927,Bologna,11.4333,44.4667,800,Clear,clear sky,01n,stations,17.75,17.25,15.02,18.26,1018,64,10000,2.06,30,0,2024-03-21 17:58:06,2,2000038,IT,2024-03-21 05:15:07,2024-03-21 17:27:32,3600,200
47,2525471,Provincia di Cagliari,9.0912,39.245,800,Clear,clear sky,01n,stations,15.46,15.18,14.88,17.19,1021,81,10000,4.12,150,0,2024-03-21 18:06:50,1,6720,IT,2024-03-21 05:25:06,2024-03-21 17:36:17,3600,200
48,727011,Sofia,23.3242,42.6975,802,Clouds,scattered clouds,03n,stations,10.83,8.8,10.83,10.83,1017,32,10000,3.09,290,28,2024-03-21 18:02:40,1,6366,BG,2024-03-21 04:27:50,2024-03-21 16:39:42,7200,200
49,728193,Plovdiv,24.75,42.15,803,Clouds,broken clouds,04n,stations,10.04,8.72,10.04,10.17,1016,62,10000,4.63,110,75,2024-03-21 18:06:01,1,6363,BG,2024-03-21 04:22:13,2024-03-21 16:33:56,7200,200
